Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Crop,Soil_Type,Variety,Soil_Moisture
66.8,93.95,150.09,17.26183374,72.94165224,302.842639,Wheat,Clay,Soft Red,78.31
72.04,67.86,83.08,21.84611566,99.36195449,94.69384657,Tomato,Clay,Beefsteak,64.07
92.02,66.56,88.17,33.24689515,81.50683564,83.56368465,Sugarcane,Clay,Co 86032,78.33
67.76,45.32,56.07,14.39628887,59.27446469,31.50883582,Sugarcane,Silt,Co 0238,44.63
31.86,62.98,150.65,16.77321764,51.19158385,295.1934819,Maize,Sandy,Sweet,33.28
58,74.06,115.72,34.06779085,42.67288356,218.1220767,Tomato,Clay,Beefsteak,52.85
64.82,97.47,179.54,33.44455101,48.14021863,368.5237415,Potato,Saline,Yukon Gold,67.97
65.89,73.48,116.71,12.60735361,68.96606127,183.1601316,Maize,Clay,Sweet,61.11
34.99,38.89,66.33,16.4372026,89.18331637,68.94076393,Wheat,Sandy,Hard Red,21.23
74.76,110.45,179.93,34.77916626,81.8249033,381.8679809,Maize,Saline,Flint,64.65
59.19,67.48,103.9,42.77376426,35.10845995,186.0245495,Maize,Peaty,Sweet,39
68.05,80.91,139.18,34.95071367,39.88932392,236.7498426,Rice,Silt,Basmati,83.75
90.27,94.98,156.48,18.97561429,80.03069241,259.6543233,Sugarcane,Loamy,Co 99004,85
77.88,111.53,198.56,31.99369596,97.42447655,399.4046025,Maize,Peaty,Dent,85
72.9,113.8,182.17,41.51252433,74.63635779,376.2437089,Tomato,Clay,Roma,85
66.49,85.75,134.66,32.48803336,57.73699429,223.8801716,Potato,Clay,Russet,71.2
60.31,84.21,140.97,40.94069036,41.90556055,282.8473265,Wheat,Loamy,Soft Red,36.75
70.54,70.26,120.19,35.53991032,45.47157749,198.9809501,Rice,Silt,Basmati,74.81
83.2,95.34,157.92,35.62299964,99.64644697,281.0249686,Maize,Peaty,Dent,85
52.39,62.78,91.61,22.07755413,41.30012523,149.8240252,Rice,Saline,Jasmine,46.49
34.82,80.56,159.89,16.64527094,52.60788435,323.2122749,Tomato,Sandy,Roma,45.77
53.22,61.73,83.09,15.32352075,70.38773585,134.2842382,Tomato,Silt,Roma,54.45
52.67,57.4,78.47,34.09037978,34.60395394,123.512476,Tomato,Clay,Roma,33.73
60.63,63.97,104.05,12.74221016,79.86543474,149.9645577,Maize,Peaty,Flint,61.07
86.36,83.43,129.61,44.95747176,53.48662744,208.5951059,Sugarcane,Clay,Co 99004,83.57
65.96,101.85,164.56,35.05483739,65.56687614,334.3069765,Tomato,Silt,Cherry,75.91
35.18,48.9,94.91,29.69927657,62.9870769,124.4688335,Maize,Sandy,Flint,16.84
28.88,52.29,108.31,30.69662951,36.30213097,212.0102031,Wheat,Sandy,Hard Red,25.23
67.12,101.69,184.56,13.14025136,70.03506038,379.0576898,Rice,Silt,Arborio,85
60.91,88.68,169.12,31.27638457,81.80586843,328.3183668,Rice,Sandy,Basmati,75.85
55.59,50.42,65.86,42.51158735,58.35424924,65.63598599,Tomato,Silt,Cherry,28.81
66.37,94.75,148.35,12.39206088,67.45767211,316.299112,Wheat,Peaty,Hard Red,85
49.44,57.25,104.8,32.08553372,93.36504511,130.3715018,Potato,Sandy,Russet,35.18
63.75,78.07,127.07,30.60958322,36.35196342,238.6542105,Sugarcane,Saline,Co 99004,61.23
63.94,58.36,63.43,37.07284689,73.17082963,78.41118245,Tomato,Silt,Roma,39.19
88.8,95.59,148.93,42.72475997,77.44001304,260.2036952,Sugarcane,Peaty,Co 86032,85
79.76,91.68,142.27,20.06219486,94.85163295,244.8041854,Maize,Loamy,Flint,58.26
31.19,63.66,118.25,10.64887345,84.17848156,196.8364292,Potato,Sandy,Red,35.11
69.79,91.19,151.68,16.43751019,65.70646796,275.9933278,Sugarcane,Saline,Co 99004,83.34
41.9,74.41,174.12,14.32833047,33.14705188,347.1270974,Sugarcane,Sandy,Co 99004,59.57
58.43,43.89,55.88,35.13401341,49.49390119,59.4156559,Maize,Silt,Dent,27.76
73.93,81.52,134.25,26.24865894,58.99149554,239.3853884,Sugarcane,Saline,Co 0238,69.52
35.06,29.57,67.43,38.50654003,57.30596471,59.97538295,Wheat,Sandy,Durum,14.45
52.09,72.03,153.53,38.25427666,41.7819105,280.9882317,Sugarcane,Sandy,Co 99004,51.21
63.78,77.24,130.31,10.8754456,33.92488661,239.416251,Sugarcane,Loamy,Co 0238,65.74
84,107.38,159.46,37.84028489,92.09882372,268.3150046,Potato,Loamy,Yukon Gold,72.53
33.91,69.22,138.65,14.29173787,80.19435186,281.8762324,Wheat,Sandy,Hard Red,33.99
78,81.75,119.8,37.57619568,80.78805172,204.8574092,Wheat,Loamy,Hard Red,43.41
62.32,79.79,114.5,21.35395466,92.04688429,221.3480928,Wheat,Saline,Soft Red,45.32
35.77,35.21,76.91,15.31479288,67.0384086,83.17882743,Rice,Sandy,Basmati,30.27
40.65,35.71,64.25,14.578832,41.60000788,71.26241042,Wheat,Silt,Durum,28.2
67.23,99.99,171.74,15.23243369,91.77466388,313.227675,Potato,Silt,Red,85
65.01,105.8,197.92,15.88951519,86.29778923,376.24215,Potato,Silt,Yukon Gold,85
86.12,77.34,120.17,40.81460297,79.71901543,179.746849,Rice,Silt,Jasmine,85
51.78,71.59,124.94,22.03195015,40.92019295,202.2562503,Potato,Saline,Yukon Gold,47.49
61.45,81.78,144.32,13.11180582,99.24782871,268.1795282,Rice,Sandy,Basmati,74.93
71.88,84.56,140.12,36.9763521,42.51935442,240.5844088,Rice,Peaty,Basmati,85
77.28,92.05,151.45,21.02282926,44.92216012,263.8729244,Sugarcane,Loamy,Co 0238,76.36
62.78,73.16,108.85,32.06963234,43.93036713,145.7770659,Potato,Loamy,Red,35.89
92.31,68.15,102.62,39.67247421,71.78271443,122.9857628,Sugarcane,Peaty,Co 0238,85
65.23,78.3,110.73,20.08557158,84.07255326,193.5951667,Wheat,Clay,Hard Red,62.02
52.51,80.18,155.38,27.00282377,33.34363982,312.6450506,Maize,Silt,Flint,54.57
58.4,49.65,64.43,43.1660875,32.20968369,90.39136381,Rice,Silt,Arborio,38.17
70.54,79.73,121.26,16.11289645,56.25837923,215.3523957,Sugarcane,Peaty,Co 86032,85
91.61,76.84,111.07,44.82387266,73.3277194,163.6228279,Rice,Clay,Basmati,85
85.95,79.75,108.94,38.86787949,99.08372963,175.6323088,Wheat,Loamy,Hard Red,48.33
67.13,84.8,146.51,43.61731012,42.54310662,272.2028404,Maize,Peaty,Dent,59.79
34.04,64.65,125.42,11.32432632,65.15924129,241.8586167,Tomato,Sandy,Roma,41.93
66.74,60.02,68.57,43.21292242,81.65465098,83.39889774,Tomato,Saline,Cherry,33.54
64,92.07,158.86,43.00137382,74.89303207,318.0265462,Wheat,Saline,Soft Red,45.56
90.04,112.85,190.85,42.47680441,59.47610598,371.506565,Sugarcane,Clay,Co 86032,85
56.22,63.25,109.08,30.9348195,91.75302378,180.6404739,Maize,Sandy,Dent,35.79
43.35,36.9,53.81,17.98220803,39.8156908,57.73818096,Maize,Saline,Flint,17.1
60,65.75,108.16,41.25697943,42.96535731,187.6734259,Tomato,Saline,Cherry,44.26
43.92,52.56,68.69,22.45818546,44.61702708,82.46838662,Potato,Clay,Russet,31.43
100.63,114.79,183.61,26.19300148,97.91224305,332.0726061,Sugarcane,Loamy,Co 0238,85
54.66,51.11,73.89,21.47243995,33.37777522,81.36088406,Maize,Loamy,Sweet,23.63
67.78,111.94,213.24,31.68740975,51.38296489,398.6922298,Potato,Clay,Red,85
67.85,75.22,112.82,36.34817444,69.46753131,187.2033838,Wheat,Clay,Hard Red,51.89
92.99,90.68,132.6,41.43310607,94.35308239,194.0667855,Sugarcane,Clay,Co 86032,85
