Temperature,Humidity,Rainfall,Sunlight,Crop_Type,Crop_Stage,Soil_Moisture
32.79,41.25,5.5,Low,Wheat,Seedling,42.07
37.84,44.35,8.44,Low,Rice,Vegetative,36.32
32.04,68.06,14.32,High,Cotton,Fruiting,46.82
31.79,80.47,0.13,Low,Sugarcane,Flowering,30.44
24.31,78.17,2.04,Moderate,Rice,Flowering,44.05
32.07,80.36,14.59,High,Rice,Fruiting,48.81
25.86,71.43,17.71,Moderate,Cotton,Vegetative,76.98
20.92,51.39,5.79,Low,Wheat,Seedling,50.5
29.07,81.71,3.25,Moderate,Wheat,Flowering,41.64
33.67,43.57,12.7,High,Wheat,Vegetative,42.47
25.4,86.27,13.76,Low,Maize,Seedling,72.5
20.64,55.77,5.35,Low,Cotton,Flowering,42.39
29.98,84.23,12.86,Low,Maize,Vegetative,64.52
31.23,53.14,11.69,High,Sugarcane,Flowering,37.19
39.95,65.48,1.82,Low,Rice,Vegetative,32.73
35.84,61.11,1.27,Moderate,Cotton,Fruiting,22.92
39.42,83.04,0.23,High,Rice,Harvest,26.9
35.37,57.01,5.87,Low,Sugarcane,Seedling,49.98
37.52,53.17,10.01,Low,Cotton,Seedling,54.89
25.97,71.95,12.18,Low,Maize,Vegetative,67.24
35.57,66.52,0.01,Moderate,Sugarcane,Seedling,21.31
27.26,89.27,16.14,Low,Rice,Vegetative,85.53
38.94,44.28,9.72,Low,Cotton,Vegetative,36.57
29.51,67.49,5.3,High,Sugarcane,Vegetative,44.16
35.11,74.49,14.26,Moderate,Maize,Fruiting,62.02
29.03,52.4,1.28,Low,Cotton,Harvest,29.99
24.4,43.55,12.62,Low,Rice,Seedling,68.06
21.42,51.9,13.38,Low,Cotton,Vegetative,70.44
37.65,68.81,4.86,Moderate,Sugarcane,Vegetative,28.72
33.18,57.71,8.22,High,Rice,Seedling,32.82
34.56,80.03,2.19,Low,Wheat,Harvest,39.36
28.44,53.93,5.0,Low,Sugarcane,Harvest,36.99
33.04,67.03,0.3,Low,Wheat,Vegetative,31.84
29.63,83.23,18.05,Low,Sugarcane,Seedling,89.74
25.3,79.2,9.1,Moderate,Cotton,Fruiting,48.02
